ticker,cap_tier,group,step_n_features,feature_combo,state,feature_index,feature_name,mu,sigma,occupancy_pct
AAPL,large,vol,1,daily return,0,0,daily return,-3.864994811460909e-06,0.031216396901536835,30.079042939542834
AAPL,large,vol,1,daily return,1,0,daily return,0.0018638285786458932,0.013070976225557107,69.92095706045717
AAPL,large,vol,2,daily return + rolling volatility,0,0,daily return,0.00031332856640945545,0.030302464137495374,27.408673360393077
AAPL,large,vol,2,daily return + rolling volatility,0,1,rolling volatility,0.028138190055194624,0.00937423645406333,27.408673360393077
AAPL,large,vol,2,daily return + rolling volatility,1,0,daily return,0.0016711553677227985,0.014937173661373284,72.59132663960692
AAPL,large,vol,2,daily return + rolling volatility,1,1,rolling volatility,0.013997496070518258,0.004124000493581336,72.59132663960692
AAPL,large,vol,3,daily return + rolling volatility + absolute return,0,0,daily return,-0.013825587442226513,0.014641250970033317,47.019867549668874
AAPL,large,vol,3,daily return + rolling volatility + absolute return,0,1,rolling volatility,0.01815457307237689,0.009107819792653526,47.019867549668874
AAPL,large,vol,3,daily return + rolling volatility + absolute return,0,2,absolute return,0.013825587455835201,0.014641250957182769,47.019867549668874
AAPL,large,vol,3,daily return + rolling volatility + absolute return,1,0,daily return,0.01470796015578654,0.014683314882681563,52.980132450331126
AAPL,large,vol,3,daily return + rolling volatility + absolute return,1,1,rolling volatility,0.017770440254374617,0.008475306127281392,52.980132450331126
AAPL,large,vol,3,daily return + rolling volatility + absolute return,1,2,absolute return,0.01470796015578654,0.014683314882681563,52.980132450331126
AAPL,large,bb,1,20-day return,0,0,20-day return,-0.05400147295192786,0.05908147903365463,42.79630943931866
AAPL,large,bb,1,20-day return,1,0,20-day return,0.0819086931269728,0.05090629134508601,57.20369056068133
AAPL,large,bb,2,20-day return + 60-day return,0,0,20-day return,0.001443477590097778,0.09477110497533342,49.18381831085876
AAPL,large,bb,2,20-day return + 60-day return,0,1,60-day return,-0.045691396709405876,0.0962565682528602,49.18381831085876
AAPL,large,bb,2,20-day return + 60-day return,1,0,20-day return,0.047943591129137916,0.07030290849663584,50.81618168914124
AAPL,large,bb,2,20-day return + 60-day return,1,1,60-day return,0.19424766650225136,0.10404187570056932,50.81618168914124
AAPL,large,bb,3,20-day return + 60-day return + 100-day return,0,0,20-day return,0.004839978983868528,0.09634198020492968,50.10645848119234
AAPL,large,bb,3,20-day return + 60-day return + 100-day return,0,1,60-day return,-0.03986686119306291,0.10062610512668264,50.10645848119234
AAPL,large,bb,3,20-day return + 60-day return + 100-day return,0,2,100-day return,0.03836790092558474,0.14811816089104127,50.10645848119234
AAPL,large,bb,3,20-day return + 60-day return + 100-day return,1,0,20-day return,0.04572476357159795,0.06914651994177272,49.893541518807666
AAPL,large,bb,3,20-day return + 60-day return + 100-day return,1,1,60-day return,0.19458859509493454,0.10625576841990007,49.893541518807666
AAPL,large,bb,3,20-day return + 60-day return + 100-day return,1,2,100-day return,0.21894814076212002,0.208921424723929,49.893541518807666
MRK,large,vol,1,daily return,0,0,daily return,-0.0003640832264832596,0.03397351399310217,8.096560563982056
MRK,large,vol,1,daily return,1,0,daily return,0.0006556976561689135,0.010486164350627963,91.90343943601795
MRK,large,vol,2,daily return + rolling volatility,0,0,daily return,-0.0003717148401487845,0.028101573783397896,15.445417645802179
MRK,large,vol,2,daily return + rolling volatility,0,1,rolling volatility,0.025110167908339382,0.010573985594809161,15.445417645802179
MRK,large,vol,2,daily return + rolling volatility,1,0,daily return,0.0007026212930917214,0.011524048765253408,84.55458235419782
MRK,large,vol,2,daily return + rolling volatility,1,1,rolling volatility,0.010938944775984635,0.0034539241842109604,84.55458235419782
MRK,large,vol,3,daily return + rolling volatility + absolute return,0,0,daily return,-0.010263962742412392,0.011679601562494472,47.87438581499679
MRK,large,vol,3,daily return + rolling volatility + absolute return,0,1,rolling volatility,0.013180296709288249,0.0074649607660023124,47.87438581499679
MRK,large,vol,3,daily return + rolling volatility + absolute return,0,2,absolute return,0.010318681162598311,0.011631287241784196,47.87438581499679
MRK,large,vol,3,daily return + rolling volatility + absolute return,1,0,daily return,0.01027019951787925,0.011395052615097621,52.1256141850032
MRK,large,vol,3,daily return + rolling volatility + absolute return,1,1,rolling volatility,0.01323123755879501,0.007360645044685613,52.1256141850032
MRK,large,vol,3,daily return + rolling volatility + absolute return,1,2,absolute return,0.010289144580954476,0.0113779491135312,52.1256141850032
MRK,large,bb,1,20-day return,0,0,20-day return,-0.026855881999680527,0.036752248438858326,53.58410220014195
MRK,large,bb,1,20-day return,1,0,20-day return,0.05614850023480544,0.03370337881526926,46.41589779985806
MRK,large,bb,2,20-day return + 60-day return,0,0,20-day return,-0.016232972657894973,0.0522179069581462,45.63520227111427
