experiment,group,feature,statistic,n_stocks,mean,ci_lower,ci_upper
exp1,vol,daily return,sigma_ratio,53,3.0966089011646583,2.961859453313694,3.2808570339372376
exp1,vol,daily return,abs_delta_mu,53,0.0030118781032627802,0.0020363349705386324,0.0043801794819168325
exp1,vol,rolling volatility,sigma_ratio,53,2.9125849507303196,2.666977877650425,3.264922588780539
exp1,vol,rolling volatility,abs_delta_mu,53,0.018417797444854403,0.016416304635014846,0.020952291695896814
exp1,vol,absolute return,sigma_ratio,53,3.5421106157027205,3.3632619855693267,3.8008648892733095
exp1,vol,absolute return,abs_delta_mu,53,0.028925125896216416,0.02563771691148111,0.03273402532292321
exp1,bb,20-day return,sigma_ratio,53,2.1338689998839637,1.6522590587146821,2.768569727246552
exp1,bb,20-day return,abs_delta_mu,53,0.13104048436883883,0.0973924689792385,0.18275390060786986
exp1,bb,60-day return,sigma_ratio,53,2.0999771206884774,1.5118215289917651,3.0169508248737937
exp1,bb,60-day return,abs_delta_mu,53,0.31005723321733697,0.21766824881076685,0.4581914798009436
exp1,bb,100-day return,sigma_ratio,53,2.4836657213379505,1.749700727109881,3.625090692700917
exp1,bb,100-day return,abs_delta_mu,53,0.4347363163703803,0.2957789917570277,0.6461161490693413
exp2_stacking,bb,1D,minority_occupancy_pct,53,36.22132651284866,33.74127910869477,38.440784980649994
exp2_stacking,bb,2D,minority_occupancy_pct,53,37.52694939539617,34.96086479103338,39.884569546178874
exp2_stacking,bb,3D,minority_occupancy_pct,53,36.46102548308046,33.793437068977056,38.97793162553396
exp2_stacking,vol,1D,minority_occupancy_pct,53,16.568803868878845,14.93046663243928,18.325318745677745
exp2_stacking,vol,2D,minority_occupancy_pct,53,28.68505197573834,26.49119483419524,30.810649695861716
exp2_stacking,vol,3D,minority_occupancy_pct,53,47.49583771898489,46.153477665360306,48.29366957165743
