ticker,cap_tier,feature,state,mu,sigma,occupancy_pct,sort_by
AAPL,large,daily return,0,0.0016245979825855125,0.012280206417628125,79.98246639392168,sigma
AAPL,large,daily return,1,-0.0005693153446058197,0.02938173169802888,20.017533606078317,sigma
AAPL,large,rolling volatility,0,0.01265251685086043,0.003666105605547191,72.93980128579778,sigma
AAPL,large,rolling volatility,1,0.024247405781257326,0.008062265147311062,27.060198714202222,sigma
AAPL,large,absolute return,0,0.008048965022885294,0.006185250391703782,82.84628872004676,sigma
AAPL,large,absolute return,1,0.026681090362326215,0.017248020032273343,17.153711279953242,sigma
AAPL,large,20-day return,0,-0.036272942240594054,0.05194458558614333,51.13968439509059,mean
AAPL,large,20-day return,1,0.08171163578927923,0.04709320692376616,48.86031560490941,mean
AAPL,large,60-day return,0,-0.0382483176662045,0.08648962785569235,49.35710111046172,mean
AAPL,large,60-day return,1,0.17170387161200423,0.09514972427946422,50.64289888953828,mean
AAPL,large,100-day return,0,-0.06546926297209825,0.10230436381143525,33.92752776154296,mean
AAPL,large,100-day return,1,0.2105873200583834,0.13445888924770102,66.07247223845705,mean
MSFT,large,daily return,0,0.0012038362614791016,0.011476886894067338,86.99590882524839,sigma
MSFT,large,daily return,1,0.0001389162659398897,0.02998436629348112,13.004091174751608,sigma
MSFT,large,rolling volatility,0,0.011637100486407839,0.00362319325067539,73.67036820572764,sigma
MSFT,large,rolling volatility,1,0.022967094639286516,0.008516504590327231,26.329631794272355,sigma
MSFT,large,absolute return,0,0.007501223333861914,0.0058915323436373734,84.36586791350088,sigma
MSFT,large,absolute return,1,0.02552949889382292,0.017189818831498265,15.634132086499122,sigma
MSFT,large,20-day return,0,-0.035266165500141264,0.03984413434305399,40.94097019286967,mean
MSFT,large,20-day return,1,0.05527804695884499,0.04188192092790012,59.05902980713034,mean
MSFT,large,60-day return,0,-0.043548169532371964,0.05671091061004047,39.18760958503799,mean
MSFT,large,60-day return,1,0.1175907819562425,0.06514832099755319,60.81239041496202,mean
MSFT,large,100-day return,0,-0.045503782752025546,0.07075609377654693,35.417884278199885,mean
MSFT,large,100-day return,1,0.16384422846257804,0.07553021879847989,64.58211572180012,mean
JPM,large,daily return,0,0.0008995126504360058,0.012301304966533151,86.11922852133256,sigma
JPM,large,daily return,1,-0.00043179861204868913,0.03472414266819127,13.880771478667445,sigma
JPM,large,rolling volatility,0,0.012116119707144875,0.0036863841208465446,80.94681472822911,sigma
JPM,large,rolling volatility,1,0.027696391920499178,0.012369575790738482,19.053185271770896,sigma
JPM,large,absolute return,0,0.008042068143561891,0.006331866777656611,84.89187609585038,sigma
JPM,large,absolute return,1,0.028232781201258873,0.019583919798918627,15.10812390414962,sigma
JPM,large,20-day return,0,-0.04873655302613116,0.05542276527984147,38.0479251899474,mean
JPM,large,20-day return,1,0.053078041188871675,0.04638207370032804,61.95207481005261,mean
JPM,large,60-day return,0,-0.07188548401474858,0.08430668743073712,41.75920514319111,mean
JPM,large,60-day return,1,0.11256376738840113,0.07703939546926869,58.24079485680889,mean
JPM,large,100-day return,0,-0.04231907032647105,0.1046956820418295,57.393337229690246,mean
JPM,large,100-day return,1,0.19819605763915152,0.10374352337483733,42.60666277030976,mean
XOM,large,daily return,0,0.0003730869589381764,0.010034100516107057,69.46230274693161,sigma
XOM,large,daily return,1,0.0005725045212110265,0.025301568053872014,30.53769725306838,sigma
XOM,large,rolling volatility,0,0.009603041612848098,0.003459672901270866,65.98480420806546,sigma
XOM,large,rolling volatility,1,0.021464620296580927,0.008674130524804752,34.015195791934545,sigma
XOM,large,absolute return,0,0.006980490356441306,0.0054523309751682006,80.9760374050263,sigma
XOM,large,absolute return,1,0.02462100189863841,0.016664178128216293,19.0239625949737,sigma
XOM,large,20-day return,0,0.0057657678720983456,0.033091952839643134,68.70251315020455,mean
XOM,large,20-day return,1,0.01339237712281185,0.1127712379917105,31.29748684979544,mean
XOM,large,60-day return,0,-0.026673600485635367,0.04303200722943575,55.639976621858565,mean
XOM,large,60-day return,1,0.08670101678256173,0.15451692659164046,44.36002337814144,mean
XOM,large,100-day return,0,-0.012661155473849599,0.05412778486166782,63.99766218585622,mean
XOM,large,100-day return,1,0.13881424215700294,0.2364424580709702,36.00233781414378,mean
WMT,large,daily return,0,0.0006801348964466124,0.008698647800160851,94.94447691408533,sigma
WMT,large,daily return,1,-0.0014751588688128425,0.0317793998729473,5.05552308591467,sigma
WMT,large,rolling volatility,0,0.008867107652187995,0.00308359162765588,86.3530099357101,sigma
WMT,large,rolling volatility,1,0.021151146825411367,0.00862871725440714,13.646990064289888,sigma
